filename,stat,value
script_indiana-jones-and-the-last-crusade_1989.txt,char_count,137750.0
script_indiana-jones-and-the-temple-of-doom_1984.txt,char_count,190111.0
script_la-la-land_2016.txt,char_count,104568.0
script_lara-croft-tomb-raider_2001.txt,char_count,158941.0
script_national-treasure_2004.txt,char_count,169878.0
script_office-space_1999.txt,char_count,64777.0
script_raiders-of-the-lost-ark_1981.txt,char_count,160278.0
script_the-mummy_1999.txt,char_count,157912.0
script_titanic_1997.txt,char_count,246677.0
min,char_count,64777.0
25%,char_count,137750.0
50%,char_count,158941.0
75%,char_count,169878.0
max,char_count,246677.0
mean,char_count,154543.55555555556
std,char_count,51100.32023165587
script_indiana-jones-and-the-last-crusade_1989.txt,word_count,26181.0
script_indiana-jones-and-the-temple-of-doom_1984.txt,word_count,34230.0
script_la-la-land_2016.txt,word_count,20520.0
script_lara-croft-tomb-raider_2001.txt,word_count,28546.0
script_national-treasure_2004.txt,word_count,31030.0
script_office-space_1999.txt,word_count,12838.0
script_raiders-of-the-lost-ark_1981.txt,word_count,29870.0
script_the-mummy_1999.txt,word_count,27759.0
script_titanic_1997.txt,word_count,46028.0
min,word_count,12838.0
25%,word_count,26181.0
50%,word_count,28546.0
75%,word_count,31030.0
max,word_count,46028.0
mean,word_count,28555.777777777777
std,word_count,9105.088450665618
script_indiana-jones-and-the-last-crusade_1989.txt,sentence_count,2957.0
script_indiana-jones-and-the-temple-of-doom_1984.txt,sentence_count,2926.0
script_la-la-land_2016.txt,sentence_count,2416.0
script_lara-croft-tomb-raider_2001.txt,sentence_count,2479.0
script_national-treasure_2004.txt,sentence_count,3485.0
script_office-space_1999.txt,sentence_count,1661.0
script_raiders-of-the-lost-ark_1981.txt,sentence_count,2847.0
script_the-mummy_1999.txt,sentence_count,3127.0
script_titanic_1997.txt,sentence_count,4564.0
min,sentence_count,1661.0
25%,sentence_count,2479.0
50%,sentence_count,2926.0
75%,sentence_count,3127.0
max,sentence_count,4564.0
mean,sentence_count,2940.222222222222
std,sentence_count,798.5488052989901
script_indiana-jones-and-the-last-crusade_1989.txt,vocab_size,4523.0
script_indiana-jones-and-the-temple-of-doom_1984.txt,vocab_size,5142.0
script_la-la-land_2016.txt,vocab_size,3626.0
script_lara-croft-tomb-raider_2001.txt,vocab_size,5678.0
script_national-treasure_2004.txt,vocab_size,5113.0
script_office-space_1999.txt,vocab_size,2037.0
script_raiders-of-the-lost-ark_1981.txt,vocab_size,4730.0
script_the-mummy_1999.txt,vocab_size,4571.0
script_titanic_1997.txt,vocab_size,6824.0
min,vocab_size,2037.0
25%,vocab_size,4523.0
