film,datetime,sample,unique_id,characters,plot,setting,themes,overall
la-la-land,20240627-210716,1,2E9czDqh,60,72,14,11,39.25
la-la-land,20240627-212028,2,tF0dhBJG,57,45,9,18,32.25
la-la-land,20240627-213403,3,GgB4Oaxj,72,42,9,25,37.0
la-la-land,20240627-214725,4,TUR2qyoF,53,50,22,25,37.5
la-la-land,20240627-220041,5,d5nPs9WL,70,62,16,25,43.25
la-la-land,20240627-221434,6,3NvzXcGG,60,0,17,30,26.75
la-la-land,20240627-222753,7,eymFrkXl,60,60,20,25,41.25
la-la-land,20240627-224114,8,9tjzkoEt,56,63,15,15,37.25
la-la-land,20240627-225438,9,pMgXy8Oj,57,60,22,11,37.5
la-la-land,20240627-230824,10,EBK09820,63,65,15,10,38.25
la-la-land,20240627-232141,11,pnYzW0lz,56,65,15,25,40.25
la-la-land,20240627-233453,12,BCRvLm2q,53,0,20,25,24.5
la-la-land,20240627-234824,13,bKQI0g04,66,45,16,11,34.5
la-la-land,20240628-000130,14,oDkjQ3Wb,60,42,16,23,35.25
la-la-land,20240628-001442,15,ZyqVMcU6,66,45,15,23,37.25
la-la-land,20240628-002748,16,UOAdw9e4,60,62,16,11,37.25
la-la-land,20240628-004101,17,Fc9BpNeZ,54,62,22,10,37.0
la-la-land,20240628-005409,18,3va7pByj,62,60,22,25,42.25
la-la-land,20240628-010738,19,5ZTPQjv8,64,0,24,30,29.5
la-la-land,20240628-012107,20,wzfcThFT,55,57,10,18,35.0
