film,datetime,sample,unique_id,characters,plot,setting,themes,overall
titanic,20240627-211346,1,3Hp35vvt,63,70,38,40,52.75
titanic,20240627-212701,2,pAkja4p6,67,62,48,25,50.5
titanic,20240627-214039,3,VqwNBSJF,63,68,56,23,52.5
titanic,20240627-215358,4,piwbyLLJ,66,68,56,40,57.5
titanic,20240627-220738,5,HF9HfBMJ,66,62,48,16,48.0
titanic,20240627-222106,6,pnEe5Asv,63,70,56,45,58.5
titanic,20240627-223427,7,TPpx8P4a,65,0,56,40,40.25
titanic,20240627-224750,8,8Mbd4TCj,65,70,46,30,52.75
titanic,20240627-230121,9,6o2JST2p,72,80,58,11,55.25
titanic,20240627-231501,10,mHAmiHEU,60,0,50,25,33.75
titanic,20240627-232820,11,39o3yU6G,50,72,46,11,44.75
titanic,20240627-234129,12,7zFi9u6O,66,0,60,40,41.5
titanic,20240627-235457,13,8DhpJ9ZE,70,70,56,22,54.5
titanic,20240628-000801,14,U70z6Ctq,65,64,58,38,56.25
titanic,20240628-002107,15,RYorsnzF,66,68,56,40,57.5
titanic,20240628-003412,16,BJN3OE2f,65,68,38,23,48.5
titanic,20240628-004725,17,V5vqPHk7,66,68,60,30,56.0
titanic,20240628-010039,18,dsDByjgv,63,60,40,25,47.0
titanic,20240628-011403,19,8lBJjvjp,73,60,40,45,54.5
titanic,20240628-012734,20,hxddoVYX,72,80,54,42,62.0
