film,datetime,sample,unique_id,characters,plot,setting,themes,overall
indiana-jones-and-the-dial-of-destiny,20240627-210153,1,6Kxa8zeg,93,85,67,68,78.25
indiana-jones-and-the-dial-of-destiny,20240627-211503,2,cM2cTJdc,88,82,60,40,67.5
indiana-jones-and-the-dial-of-destiny,20240627-212814,3,5xOMjQVW,68,85,62,0,53.75
indiana-jones-and-the-dial-of-destiny,20240627-214201,4,defgdEPi,100,86,56,67,77.25
indiana-jones-and-the-dial-of-destiny,20240627-215518,5,Pr8phOn2,78,80,50,78,71.5
indiana-jones-and-the-dial-of-destiny,20240627-220855,6,jwWKn7Oc,82,85,67,60,73.5
indiana-jones-and-the-dial-of-destiny,20240627-222227,7,uvzSkzaI,80,76,66,40,65.5
indiana-jones-and-the-dial-of-destiny,20240627-223541,8,LcLfI7fF,88,82,74,45,72.25
indiana-jones-and-the-dial-of-destiny,20240627-224909,9,LFF6nMCT,88,80,76,25,67.25
indiana-jones-and-the-dial-of-destiny,20240627-230246,10,rO9IsATk,85,87,64,77,78.25
indiana-jones-and-the-dial-of-destiny,20240627-231619,11,t1BcA88x,77,86,70,42,68.75
indiana-jones-and-the-dial-of-destiny,20240627-232935,12,D5tfjEBr,85,86,73,68,78.0
indiana-jones-and-the-dial-of-destiny,20240627-234246,13,74n9On6z,100,87,80,68,83.75
indiana-jones-and-the-dial-of-destiny,20240627-235613,14,d4YMAfcT,80,83,56,65,71.0
indiana-jones-and-the-dial-of-destiny,20240628-000922,15,6xWMXZUd,91,85,70,45,72.75
indiana-jones-and-the-dial-of-destiny,20240628-002229,16,WUNC75zZ,80,85,56,45,66.5
indiana-jones-and-the-dial-of-destiny,20240628-003529,17,mgikzwvG,87,84,81,35,71.75
indiana-jones-and-the-dial-of-destiny,20240628-004843,18,EwlimDrI,77,75,66,50,67.0
indiana-jones-and-the-dial-of-destiny,20240628-010202,19,oKXxxKBe,82,85,74,78,79.75
indiana-jones-and-the-dial-of-destiny,20240628-011519,20,OZfua8F2,82,82,66,30,65.0
indiana-jones-and-the-dial-of-destiny,20240627-173455,1,UaL0fP8R,94,82,64,0,60.0
indiana-jones-and-the-dial-of-destiny,20240627-174847,2,Od2qL2Ul,88,87,64,0,59.75
indiana-jones-and-the-dial-of-destiny,20240627-180207,3,5J7ySqU3,95,86,70,67,79.5
indiana-jones-and-the-dial-of-destiny,20240627-181603,4,omCmO0n1,89,86,81,0,64.0
indiana-jones-and-the-dial-of-destiny,20240627-182940,5,aXFaKc0r,89,0,66,48,50.75
indiana-jones-and-the-dial-of-destiny,20240627-184329,6,ZUNYb7iQ,93,80,60,0,58.25
indiana-jones-and-the-dial-of-destiny,20240627-185725,7,I85WFpWN,71,86,56,55,67.0
indiana-jones-and-the-dial-of-destiny,20240627-191107,8,xlRcaHff,88,84,50,0,55.5
indiana-jones-and-the-dial-of-destiny,20240627-192423,9,vx2lAM9Y,88,86,73,0,61.75
indiana-jones-and-the-dial-of-destiny,20240627-193748,10,OI9wr2pH,100,85,73,45,75.75
