reference_film,test_film,version_number,characters-overall,characters-backstory,characters-strengths,characters-weakness,characters-psychology,characters-beliefs,characters-motivations,characters-social_dynamics,plot-overall,plot-protagonist_introduction,plot-inciting_incident,plot-rising_action,plot-climax,plot-resolution,plot-consequences,plot-final_outcome,plot-loose_ends,plot-subplots,setting-overall,setting-time_period,setting-geographical_location,setting-cultural_context,setting-social_class,setting-ideology_and_beliefs,setting-economic_and_political_context,themes-overall,themes-main_theme,themes-secondary_themes,themes-tertiary_themes,themes-resolution_secondary_themes,themes-resolution_tertiary_themes,themes-resolution_main_theme
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,0,80,70,85,65,80,90,75,70,80,90,85,80,85,75,80,85,70,75,60,70,60,70,70,80,80,60,70,80,70,80.0,75.0,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,1,80,60,85,70,80,90,75,70,80,90,85,80,85,80,75,85,70,80,60,70,60,70,60,80,70,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,2,80,60,85,70,80,90,85,70,80,90,85,80,85,75,80,85,70,85,60,80,70,70,60,70,60,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,3,80,70,80,75,85,85,80,75,70,80,85,75,80,70,75,80,70,80,60,70,60,70,60,80,70,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,4,80,60,85,65,80,85,75,70,75,80,85,80,85,75,70,80,70,75,60,80,70,60,70,70,60,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,5,80,60,85,65,80,85,75,70,80,90,85,80,85,75,80,85,70,75,60,80,70,60,70,70,60,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,6,80,70,85,65,80,85,75,75,80,90,85,80,85,75,80,85,70,75,60,80,70,60,70,80,50,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,7,80,60,80,65,75,85,75,70,75,80,85,80,85,75,70,80,70,75,60,20,40,70,60,70,60,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,8,80,60,85,65,80,85,75,70,75,80,85,80,90,75,70,80,70,85,70,80,60,70,80,75,65,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,9,80,70,85,65,80,90,85,75,80,90,85,80,85,75,80,85,70,75,60,80,70,70,60,80,70,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,10,80,70,85,65,80,85,75,70,75,80,85,80,85,75,70,80,70,75,60,80,70,60,70,70,60,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,11,80,60,85,65,80,85,75,70,75,80,85,80,90,75,70,80,70,85,60,80,70,60,70,70,60,60,70,80,70,80.0,75.0,75.0
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,12,80,70,85,65,80,85,75,70,75,80,85,80,85,75,80,85,70,75,60,70,70,60,70,80,70,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,13,80,60,85,65,80,85,75,70,80,90,85,80,85,75,70,80,70,75,60,70,60,70,60,80,70,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,14,80,80,85,75,85,90,85,80,75,80,85,80,85,75,70,80,70,75,60,80,70,60,70,70,60,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,15,80,60,85,65,80,85,75,70,70,80,85,75,80,75,70,80,70,70,60,80,70,60,70,70,50,60,80,70,60,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,16,80,70,80,75,85,90,85,75,70,80,85,75,80,75,70,80,70,85,60,20,40,70,60,70,60,60,70,75,60,70.0,65.0,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,17,80,70,80,75,85,85,80,75,80,90,85,80,85,75,80,85,70,80,60,70,60,70,60,80,70,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,18,80,60,85,65,80,85,75,70,70,80,85,75,80,75,70,80,70,80,60,80,70,70,60,80,70,60,70,75,65,80.0,70.0,70.0
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,19,80,60,85,70,80,90,85,75,80,90,85,80,85,80,75,85,70,80,60,20,40,70,80,70,60,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,20,80,70,85,65,80,90,75,70,75,80,85,80,85,75,70,80,70,75,60,80,70,60,70,80,50,60,70,80,70,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,21,80,70,85,65,80,90,85,75,80,90,85,80,85,80,75,85,70,80,60,80,70,60,70,70,60,60,70,75,65,,,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,22,80,70,80,75,85,90,85,75,80,90,85,80,85,80,75,85,70,80,60,80,70,60,70,70,60,60,70,75,65,80.0,70.0,
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,23,80,60,85,65,80,90,85,70,80,90,85,80,85,80,75,85,70,80,60,70,60,70,70,80,60,60,70,75,65,75.0,70.0,70.0
elements_raiders-of-the-lost-ark_1981,the-mummy_1999,24,80,60,85,65,80,85,75,70,80,90,85,80,85,75,80,85,70,75,60,80,70,60,70,80,50,60,70,75,65,,,
