film,datetime,sample,unique_id,characters,plot,setting,themes,overall
indiana-jones-and-the-last-crusade,20240627-210435,1,FAz62C8k,86,82,91,40,74.75
indiana-jones-and-the-last-crusade,20240627-211750,2,GCatiEYs,88,0,66,25,44.75
indiana-jones-and-the-last-crusade,20240627-213105,3,63QlQJQj,86,83,76,55,75.0
indiana-jones-and-the-last-crusade,20240627-214440,4,C1aGnaxv,93,80,85,67,81.25
indiana-jones-and-the-last-crusade,20240627-215756,5,usnMX0uN,88,83,75,0,61.5
indiana-jones-and-the-last-crusade,20240627-221148,6,0D8U4x6R,97,88,80,11,69.0
indiana-jones-and-the-last-crusade,20240627-222517,7,oM7hAmo5,88,80,82,45,73.75
indiana-jones-and-the-last-crusade,20240627-223830,8,xrOeaTPj,88,88,73,40,72.25
indiana-jones-and-the-last-crusade,20240627-225159,9,scgMG32Y,96,83,82,0,65.25
indiana-jones-and-the-last-crusade,20240627-230533,10,Q3ueDtNX,94,85,70,60,77.25
indiana-jones-and-the-last-crusade,20240627-231901,11,3S0Ad9Lc,88,83,76,40,71.75
indiana-jones-and-the-last-crusade,20240627-233220,12,zKz3kulV,92,83,80,0,63.75
indiana-jones-and-the-last-crusade,20240627-234536,13,RqYDaBk5,97,84,73,48,75.5
indiana-jones-and-the-last-crusade,20240627-235851,14,p6o7xg0M,95,85,72,67,79.75
indiana-jones-and-the-last-crusade,20240628-001207,15,ZVrVKXNG,88,80,70,60,74.5
indiana-jones-and-the-last-crusade,20240628-002511,16,rk1oyz7F,100,85,82,60,81.75
indiana-jones-and-the-last-crusade,20240628-003819,17,kKCmrKe1,85,83,85,30,70.75
indiana-jones-and-the-last-crusade,20240628-005124,18,ynenvKky,93,82,81,25,70.25
indiana-jones-and-the-last-crusade,20240628-010448,19,UGsk7lIf,88,88,76,68,80.0
indiana-jones-and-the-last-crusade,20240628-011811,20,qLFxeOpq,97,85,76,60,79.5
indiana-jones-and-the-last-crusade,20240627-173749,1,xhdE769x,90,85,76,25,69.0
indiana-jones-and-the-last-crusade,20240627-175123,2,Zxekp3oC,94,83,76,25,69.5
indiana-jones-and-the-last-crusade,20240627-180502,3,wb8Izy2f,92,85,84,55,79.0
indiana-jones-and-the-last-crusade,20240627-181858,4,75BVjDUZ,94,83,76,25,69.5
indiana-jones-and-the-last-crusade,20240627-183231,5,DcxjC33v,86,88,74,45,73.25
indiana-jones-and-the-last-crusade,20240627-184609,6,gA34xrqK,94,83,84,25,71.5
indiana-jones-and-the-last-crusade,20240627-190007,7,RDmB7IYP,85,80,80,40,71.25
indiana-jones-and-the-last-crusade,20240627-191349,8,AXXoTUFO,100,0,81,17,49.5
indiana-jones-and-the-last-crusade,20240627-192702,9,YgvTQY4l,96,83,76,50,76.25
indiana-jones-and-the-last-crusade,20240627-194031,10,aKTN5HpB,100,83,76,0,64.75
