film,datetime,sample,unique_id,characters,plot,setting,themes,overall
national-treasure,20240627-210953,1,BU1q6crq,88,82,16,68,63.5
national-treasure,20240627-212301,2,dK2gobWU,88,78,36,65,66.75
national-treasure,20240627-213639,3,CmJcY40t,88,80,45,65,69.5
national-treasure,20240627-215004,4,G8DtBvOb,85,82,40,68,68.75
national-treasure,20240627-220321,5,vcfR2OfC,66,82,30,48,56.5
national-treasure,20240627-221711,6,GzN70gzY,75,80,22,65,60.5
national-treasure,20240627-223034,7,psMk6p29,89,83,22,0,48.5
national-treasure,20240627-224359,8,bMpyuyxR,83,75,40,65,65.75
national-treasure,20240627-225711,9,BAaI8RkC,75,73,21,68,59.25
national-treasure,20240627-231102,10,xoYd5U3Q,77,82,22,68,62.25
national-treasure,20240627-232420,11,84sYxtvp,70,75,21,68,58.5
national-treasure,20240627-233731,12,kTDtOCfR,83,78,40,45,61.5
national-treasure,20240627-235105,13,w4LUfgKR,89,80,25,0,48.5
national-treasure,20240628-000404,14,1TGayEdN,77,81,27,75,65.0
national-treasure,20240628-001714,15,0CPMyTU9,82,78,30,0,47.5
national-treasure,20240628-003019,16,fVhVR8N3,80,73,30,45,57.0
national-treasure,20240628-004332,17,HST2u65c,77,70,44,68,64.75
national-treasure,20240628-005646,18,Ar8PM9T7,82,86,36,68,68.0
national-treasure,20240628-011011,19,6xp9bCab,83,80,42,45,62.5
national-treasure,20240628-012343,20,lyhlstMZ,88,66,30,68,63.0
national-treasure,20240627-174326,1,KVqxnkWX,87,82,55,67,72.75
national-treasure,20240627-175654,2,2AjYOsoN,80,79,22,60,60.25
national-treasure,20240627-181029,3,d9eXwcXy,80,80,40,65,66.25
national-treasure,20240627-182422,4,qyT1fr33,88,0,36,45,42.25
national-treasure,20240627-183805,5,RAPytje1,80,80,27,68,63.75
national-treasure,20240627-185147,6,xIAipRFq,77,82,52,68,69.75
national-treasure,20240627-190532,7,MM7SRlNG,85,81,42,65,68.25
national-treasure,20240627-191905,8,n2eNIuDO,85,73,23,0,45.25
national-treasure,20240627-193221,9,MB9CDpra,88,78,40,55,65.25
national-treasure,20240627-194535,10,y4NyxpOA,78,80,32,68,64.5
