reference_film,test_film,version_number,characters,plot,setting,themes,overall
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,0,82,100,70,68,80.0
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,1,88,88,76,75,81.75
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,10,100,78,70,38,71.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,11,88,100,75,67,82.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,12,85,65,70,65,71.25
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,13,88,80,70,50,72.0
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,14,78,77,65,58,69.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,15,92,70,70,70,75.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,16,85,0,76,60,55.25
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,17,80,75,70,70,73.75
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,18,78,83,80,65,76.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,19,83,85,72,58,74.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,2,85,86,78,35,71.0
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,20,85,73,80,40,69.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,21,88,85,80,68,80.25
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,22,100,68,70,68,76.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,23,78,78,78,68,75.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,24,89,82,64,40,68.75
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,25,100,83,64,68,78.75
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,26,85,75,72,70,75.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,27,85,82,78,70,78.75
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,28,100,82,70,40,73.0
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,29,80,80,60,70,72.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,3,85,80,70,40,68.75
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,30,86,85,70,65,76.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,31,85,79,80,50,73.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,32,85,82,75,75,79.25
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,4,100,75,68,75,79.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,5,88,89,74,75,81.5
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,6,90,86,76,77,82.25
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,7,82,100,78,65,81.25
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,8,80,80,80,55,73.75
raiders-of-the-lost-ark,indiana-jones-and-the-temple-of-doom_1984,9,90,100,68,70,82.0
