reference_film,test_film,version_number,characters_role,characters_backstory,characters_strengths,characters_weakness,characters_psychology,characters_beliefs,characters_motivations,characters_arc,characters_similarity_overall,plot_protagonist_intro,plot_inciting_incident,plot_rising_action,plot_climax,plot_resolution,plot_consequences,plot_final_outcome,plot_loose_ends,plot_subplots,plot_similarity_overall,setting_time_period,setting_geographical_location,setting_cultural_context,setting_social_class,setting_ideology_and_beliefs,setting_economic_and_political_context,setting_similarity_overall,themes_main_theme,themes_secondary_themes,themes_tertiary_themes,themes_resolution_main_them,themes_resolution_secondary_themes,themes_resolution_tertiary_themes,themes_similarity_overall,characters_social_dynamics,filename
raiders-of-the-lost-ark,script_national-treasure,0,100,100,100,100,100,100,100,100,100,90,80,85,75,85,90,90,80,85,85,90,70,80,75,85,85,80,40,60,30,70,80,50,55,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver0.pkl
raiders-of-the-lost-ark,script_national-treasure,1,100,50,75,50,75,50,75,75,71,80,70,75,85,90,85,90,80,85,83,90,80,85,75,90,90,85,40,30,20,50,60,40,40,75,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver1.pkl
raiders-of-the-lost-ark,script_national-treasure,10,100,80,90,70,95,90,85,90,87,80,70,75,85,90,85,90,80,0,80,80,70,60,75,70,85,72,50,60,40,70,65,55,57,85,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver10.pkl
raiders-of-the-lost-ark,script_national-treasure,11,100,100,100,100,100,100,100,100,100,90,85,80,85,90,85,90,85,90,87,90,70,80,85,90,85,84,40,20,10,60,30,20,30,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver11.pkl
raiders-of-the-lost-ark,script_national-treasure,12,100,90,100,70,100,100,100,90,90,80,90,85,75,85,80,90,70,85,83,90,80,85,75,90,90,84,50,60,40,70,80,60,60,80,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver12.pkl
raiders-of-the-lost-ark,script_national-treasure,13,100,80,100,60,100,80,80,80,83,80,90,85,85,90,85,90,80,90,86,90,70,80,75,85,90,80,60,70,50,80,75,65,68,80,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver13.pkl
raiders-of-the-lost-ark,script_national-treasure,14,100,100,100,100,100,100,100,100,100,100,100,80,90,100,90,100,70,90,90,80,90,70,80,90,80,82,60,70,50,80,75,65,68,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver14.pkl
raiders-of-the-lost-ark,script_national-treasure,15,100,100,100,100,100,100,100,100,100,80,90,85,75,85,85,90,80,90,85,80,60,70,75,85,90,76,50,60,40,70,65,55,57,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver15.pkl
raiders-of-the-lost-ark,script_national-treasure,16,100,50,75,50,50,75,75,75,70,100,100,80,70,90,90,80,70,90,85,90,80,70,90,80,90,84,40,60,30,20,50,40,40,75,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver16.pkl
raiders-of-the-lost-ark,script_national-treasure,17,100,80,100,80,100,100,100,100,93,80,90,85,75,85,80,90,70,85,83,90,70,80,60,70,90,76,50,60,40,70,80,60,60,90,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver17.pkl
raiders-of-the-lost-ark,script_national-treasure,18,100,80,100,90,100,100,100,100,94,90,85,80,85,90,85,90,85,90,87,90,70,80,60,70,80,75,30,40,20,50,60,40,40,90,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver18.pkl
raiders-of-the-lost-ark,script_national-treasure,19,100,100,100,100,100,100,100,100,100,70,80,75,85,70,80,75,60,85,75,90,70,80,85,75,85,80,60,70,50,80,75,65,68,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver19.pkl
raiders-of-the-lost-ark,script_national-treasure,2,100,100,100,100,100,100,100,100,100,80,90,85,75,85,80,90,70,90,83,80,60,50,70,60,70,64,40,60,50,70,80,60,60,100,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver2.pkl
raiders-of-the-lost-ark,script_national-treasure,20,100,80,100,60,100,80,100,100,86,90,80,75,70,85,80,90,70,85,80,90,70,80,75,85,90,80,60,70,50,80,75,65,68,80,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver20.pkl
raiders-of-the-lost-ark,script_national-treasure,21,100,80,100,80,100,60,100,100,88,80,90,85,75,90,85,90,85,90,85,90,70,80,100,70,90,82,50,70,60,80,90,70,70,80,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver21.pkl
raiders-of-the-lost-ark,script_national-treasure,22,100,100,100,100,100,100,100,100,96,100,100,90,80,100,90,100,100,100,95,90,80,70,75,85,90,80,30,40,20,50,60,40,40,80,similarity-by-score_genaigenai_raiders-of-the-lost-ark_script_national-treasure_2004_ver22.pkl
